T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	Risk
TCGA-D8-A27H-01	1.36681417529507	1.10931836433381	1.50649401998916	0.797917203528299	0.221164220681879	3.03391723199857	1.98817984026522	1.72888442296726	3.41865133982406	8.36103156864316	Low
TCGA-D8-A27M-01	3.01950015833467	3.38990593245598	2.51037505533669	4.86835196107795	0.645192901394603	4.55915278534285	2.87498840503834	1.88449836167714	3.08408127201917	7.82022217480691	High
TCGA-E2-A14N-01	2.17322549544558	1.67202395474831	0.951133132906765	1.51750724970136	0.192556007350362	3.15366028050225	1.64896991385959	1.07097599792672	1.64258237602144	5.00356386050918	Low
TCGA-E2-A14R-01	2.20841631845858	2.61886472715962	1.2699159593008	1.5347588227538	0.282276709852704	3.53337227401052	1.74392819716209	1.2509118671248	2.35426206553977	5.39126579105946	High
TCGA-E2-A14X-01	2.71427386543496	3.27256222677441	1.79042994337109	3.54696435423139	0.47052781738506	3.0230075796873	2.52915782569574	1.56341054817803	3.29567074919121	6.5278081530979	High
TCGA-E2-A150-01	2.1222268441135	2.05812062695253	1.05795210785431	1.0194674171955	0.282049806128538	4.38585592587776	2.52114716843498	1.65245032899041	3.20127837936907	7.35256959800157	Low
TCGA-E2-A158-01	1.16560686968807	0.852814992742898	1.65454401562475	0.457798474696599	0.261660832303626	1.98285544816925	1.15268725408116	1.6077536243968	2.20975373499637	5.17174426667754	High
TCGA-E2-A1L7-01	2.8720501425572	3.97820293286741	2.08314451531247	1.68634332204807	0.764388589694734	3.989424864648	3.07238421654076	2.05637253453811	2.85144556100635	7.35439312371698	High
TCGA-E2-A1LH-01	2.6244179019987	3.8785688328363	2.08938305565337	2.68765255922318	0.514503489050452	3.41218744430847	2.62088700170517	1.22346068427994	2.66614897370831	6.38579613029673	High
TCGA-E2-A1LL-01	1.01187107132584	0.253765372192093	0.89206661108621	0.613871272614552	0.137990755406701	2.83497248402302	1.55157969668325	1.8750980947053	3.33284776421048	5.93016183875305	High
TCGA-E2-A1LS-01	0.443639196293439	0.803303581046744	0.468380186082749	0.387656549023286	0.108028460974537	1.43449107520786	0.9015427006831	1.23760480609629	1.87915139796796	4.06850962828726	Low
TCGA-E9-A5FL-01	1.1516937574252	0.5344777161183	0.68509684038848	0.439927207520449	0.152695080395165	2.7184044352562	2.18091051683323	1.70477959499465	2.21804240305464	6.67531532078645	High
TCGA-EW-A1OV-01	3.65613270328881	4.51667154328934	2.41211551316964	4.49663266811516	0.856053009242698	4.50944671056296	2.66762219430882	1.56252034706273	3.1884659770299	6.62892486040746	High
TCGA-EW-A1OW-01	1.47986099911535	1.34862158037561	1.46534604539314	1.42746879231784	0.504071193565321	3.76726535906733	2.34656853816249	1.74263401229573	3.47452188575426	8.00466508784767	Low
