p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
0.506392641489656	1.14774726209454	0.764396231382079	1.72335200457976	0.137801118689801	EDNRB	None
0.386287817800425	1.1962597384786	0.797559195829807	1.79427103265482	0.179199804590849	FBLN1	None
0.887125305168175	1.0336202867375	0.654729617410395	1.63177419921975	0.0330674811150972	CCN1	None
0.205121680656831	1.32610587925805	0.856982624094998	2.05203320762759	0.282246737186837	PKDCC	None
0.0114104693334529	1.39247844152734	1.07743572063208	1.79963980494435	0.331085210851942	PTHLH	Risk
0.065271245811994	1.31672638068473	0.982751307278712	1.76419847905571	0.275148641635316	PTGDS	None
0.558467411780219	1.12446382339057	0.759091815997365	1.66569954183055	0.117306320615215	HSPG2	None
0.0460800017986691	1.42887331007278	1.00622710499997	2.0290438670288	0.356886238665375	ITGA3	Risk
0.282519871606051	1.23648560001237	0.83957057989869	1.82104599141914	0.212273162147164	SMOC2	None
0.0797909983729269	1.51449869121883	0.95189799282584	2.40961353316269	0.415084487317617	PLAU	None
0.115785149343723	1.27281913556419	0.942330444094332	1.7192149123606	0.241234232155476	CFD	None
0.87257150842289	0.968824811311568	0.657908549347768	1.42667474977095	-0.0316714767165611	LMOD1	None
0.474033865278778	1.12364334991538	0.816630806878557	1.54607733038514	0.11657639677408	C4A	None
0.174176541267854	1.37995444935681	0.867234042140909	2.19580204393113	0.322050490911892	RGS1	None
0.253200400654705	1.33441722627043	0.813530834892285	2.18881603178941	0.28849466191434	ITGBL1	None
0.108875835830345	1.40470669960729	0.92718177607548	2.12817050856378	0.339828526265504	HTRA3	None
0.222234866152703	1.28345207818136	0.859708658229982	1.91605519057991	0.249553383804096	TPPP3	None
0.15639841938668	1.39498767560039	0.880328023745071	2.21052898759077	0.33288558053924	MEGF6	None
0.194486417919251	1.27184776460048	0.884441230697105	1.82894767925311	0.240470775837615	CLEC3B	None
0.475850103234025	1.11719568703488	0.823807168007566	1.51507082191094	0.110821694568438	C4B	None
0.33135992507031	1.16449189233157	0.856430182546025	1.58336475633621	0.152284847957843	TRARG1	None
0.412783123224684	1.13730196582565	0.835909670703931	1.54736307857481	0.128658760709056	CILP	None
0.0412142471387658	1.40160150212422	1.01355421884347	1.93821577004383	0.337615512920464	HSPB6	Risk
0.249927066139654	1.29075294401662	0.835637295493076	1.99373959428715	0.25522572563237	PLAT	None
0.202217124281051	1.27315931964369	0.878389424748729	1.84534855216325	0.241501464645861	ABI3BP	None
0.120361200742763	1.44875617980836	0.907496722573248	2.31283972308066	0.370705381276781	GAS6	None
0.000656856106687845	2.04540843686911	1.35517346134785	3.08720307247917	0.715597494182827	MSC	Risk
0.688304253086403	1.04726107381865	0.835739578516954	1.31231759860172	0.0461782549773521	PLA2G2A	None
0.909934528130233	0.979806208738939	0.688070476504561	1.39523528397895	-0.02040047305663	MYH11	None
0.965499085826897	0.993386833768822	0.735435589522493	1.341813498781	-0.00663513010235372	GPC3	None
0.782217257981941	1.05473454056566	0.72285673679209	1.53898399840497	0.053289114949419	PALM	None
0.828640028825093	1.04809679259541	0.684955876189322	1.60376299384453	0.046975940980755	NR2F1	None
0.292625553731013	1.19004729733089	0.86066174486073	1.64549264370257	0.173993051989807	HOXB2	None
0.00354943660698086	1.48010149400474	1.1371505779857	1.92648227505242	0.392110662454958	F3	Risk
0.32947970223151	0.828213861998953	0.567046078452804	1.20966924430342	-0.188483870508987	CNN1	None
0.36840231042088	1.19936221099302	0.807078707949025	1.78231651881084	0.181789924663479	MRC1	None
0.03102525591977	1.51341172350162	1.03853114900075	2.20543702231361	0.414366521714264	EGR1	Risk
0.378394735699793	1.21040329034791	0.791417119353244	1.85120600686819	0.190953601885463	THBS2	None
0.895213945473528	1.02194388184923	0.739850003313998	1.4115959896885	0.0217065801459368	RASD1	None
0.00770452876402331	1.72458601543893	1.15504696375175	2.57495757141069	0.544987030630964	ZNF703	Risk
0.400168165354791	1.13056359705208	0.849449433785751	1.50470881036778	0.122716266838763	CIDEC	None
0.441737672983233	1.1793548895892	0.774649256055301	1.79549382475448	0.164967585242626	VCAN	None
0.983519024201056	1.00341563610046	0.726066779878602	1.38670844979194	0.00340981606445447	SCUBE2	None
0.235671193131574	1.22356345636415	0.87659962289263	1.70785783230157	0.201767467176957	EGR3	None
0.0495544521916502	1.27691651582006	1.0004763652203	1.62973943718803	0.244448199674556	MMP10	Risk
0.79051414326255	1.05161213680877	0.725439098129793	1.52443959683799	0.0503243550857707	IGFBP5	None
0.34436735494745	1.18267309386043	0.835279763933845	1.67454750771643	0.167777210257488	IL7R	None
0.507543755271726	1.09641834177761	0.835100633471388	1.43950696718941	0.0920488143996011	TNS4	None
0.180471022131377	1.26474557762925	0.896870942403701	1.78351343599749	0.2348709775475	LIPE	None
